fwd	rev	xform	assay	target	experiment	biosample	biosample_summary	library_construction
data/processed/bigwigs/ENCSR124RWD_right_ventricle_myocardium_pl.bigWig	data/processed/bigwigs/ENCSR124RWD_right_ventricle_myocardium_mn.bigWig	lambda x: np.arcsinh(np.abs(np.nan_to_num(x)))	PRO-cap	ENCSR124RWD-right_ventricle_myocardium	ENCSR124RWD	right ventricle myocardium	Homo sapiens right ventricle myocardium tissue male adult (37 years)	capped RNA enrichment
data/processed/bigwigs/ENCSR178XKL_WTC11_pl.bigWig	data/processed/bigwigs/ENCSR178XKL_WTC11_mn.bigWig	lambda x: np.arcsinh(np.abs(np.nan_to_num(x)))	PRO-cap	ENCSR178XKL-WTC11	ENCSR178XKL	WTC11	Homo sapiens WTC11	capped RNA enrichment
data/processed/bigwigs/ENCSR720EXP_Metastatic_Liver_Carcinoma_in_the_Lung_pl.bigWig	data/processed/bigwigs/ENCSR720EXP_Metastatic_Liver_Carcinoma_in_the_Lung_mn.bigWig	lambda x: np.arcsinh(np.abs(np.nan_to_num(x)))	PRO-cap	ENCSR720EXP-Metastatic_Liver_Carcinoma_in_the_Lung	ENCSR720EXP	Metastatic Liver Carcinoma in the Lung	Homo sapiens Metastatic Liver Carcinoma in the Lung tissue female adult (62 years)	capped RNA enrichment
data/processed/bigwigs/ENCSR753TEA_liver_pl.bigWig	data/processed/bigwigs/ENCSR753TEA_liver_mn.bigWig	lambda x: np.arcsinh(np.abs(np.nan_to_num(x)))	PRO-cap	ENCSR753TEA-liver	ENCSR753TEA	liver	Homo sapiens liver tissue	capped RNA enrichment
data/processed/bigwigs/ENCSR961UBB_heart_left_ventricle_pl.bigWig	data/processed/bigwigs/ENCSR961UBB_heart_left_ventricle_mn.bigWig	lambda x: np.arcsinh(np.abs(np.nan_to_num(x)))	PRO-cap	ENCSR961UBB-heart_left_ventricle	ENCSR961UBB	heart left ventricle	Homo sapiens heart left ventricle tissue female adult (59 years)	capped RNA enrichment
data/processed/bigwigs/ENCSR796JNK_LUHMES_pl.bigWig	data/processed/bigwigs/ENCSR796JNK_LUHMES_mn.bigWig	lambda x: np.arcsinh(np.abs(np.nan_to_num(x)))	PRO-cap	ENCSR796JNK-LUHMES	ENCSR796JNK	LUHMES	Homo sapiens LUHMES	capped RNA enrichment
data/processed/bigwigs/ENCSR784YIV_colonic_mucosa_pl.bigWig	data/processed/bigwigs/ENCSR784YIV_colonic_mucosa_mn.bigWig	lambda x: np.arcsinh(np.abs(np.nan_to_num(x)))	PRO-cap	ENCSR784YIV-colonic_mucosa	ENCSR784YIV	colonic mucosa	Homo sapiens colonic mucosa tissue female adult (41 years)	capped RNA enrichment
data/processed/bigwigs/ENCSR478DAN_upper_lobe_of_left_lung_pl.bigWig	data/processed/bigwigs/ENCSR478DAN_upper_lobe_of_left_lung_mn.bigWig	lambda x: np.arcsinh(np.abs(np.nan_to_num(x)))	PRO-cap	ENCSR478DAN-upper_lobe_of_left_lung	ENCSR478DAN	upper lobe of left lung	Homo sapiens upper lobe of left lung tissue female adult (61 years)	capped RNA enrichment
data/processed/bigwigs/ENCSR666GXV_Colon_Carcinoma_Metastatic_in_the_Lung_pl.bigWig	data/processed/bigwigs/ENCSR666GXV_Colon_Carcinoma_Metastatic_in_the_Lung_mn.bigWig	lambda x: np.arcsinh(np.abs(np.nan_to_num(x)))	PRO-cap	ENCSR666GXV-Colon_Carcinoma_Metastatic_in_the_Lung	ENCSR666GXV	Colon Carcinoma Metastatic in the Lung	Homo sapiens Colon Carcinoma Metastatic in the Lung tissue female adult (73 years)	capped RNA enrichment
data/processed/bigwigs/ENCSR520PUD_HEK293_pl.bigWig	data/processed/bigwigs/ENCSR520PUD_HEK293_mn.bigWig	lambda x: np.arcsinh(np.abs(np.nan_to_num(x)))	PRO-cap	ENCSR520PUD-HEK293	ENCSR520PUD	HEK293	Homo sapiens HEK293	capped RNA enrichment
data/processed/bigwigs/ENCSR417NJC_spleen_pl.bigWig	data/processed/bigwigs/ENCSR417NJC_spleen_mn.bigWig	lambda x: np.arcsinh(np.abs(np.nan_to_num(x)))	PRO-cap	ENCSR417NJC-spleen	ENCSR417NJC	spleen	Homo sapiens spleen tissue female adult (53 years)	capped RNA enrichment
data/processed/bigwigs/ENCSR215OJB_GM23338_pl.bigWig	data/processed/bigwigs/ENCSR215OJB_GM23338_mn.bigWig	lambda x: np.arcsinh(np.abs(np.nan_to_num(x)))	PRO-cap	ENCSR215OJB-GM23338	ENCSR215OJB	GM23338	Homo sapiens GM23338	capped RNA enrichment
data/processed/bigwigs/ENCSR053UMZ_cerebellum_pl.bigWig	data/processed/bigwigs/ENCSR053UMZ_cerebellum_mn.bigWig	lambda x: np.arcsinh(np.abs(np.nan_to_num(x)))	PRO-cap	ENCSR053UMZ-cerebellum	ENCSR053UMZ	cerebellum	Homo sapiens cerebellum tissue	capped RNA enrichment
data/processed/bigwigs/ENCSR386RDW_subcutaneous_adipose_tissue_pl.bigWig	data/processed/bigwigs/ENCSR386RDW_subcutaneous_adipose_tissue_mn.bigWig	lambda x: np.arcsinh(np.abs(np.nan_to_num(x)))	PRO-cap	ENCSR386RDW-subcutaneous_adipose_tissue	ENCSR386RDW	subcutaneous adipose tissue	Homo sapiens subcutaneous adipose tissue tissue female adult (53 years)	capped RNA enrichment
data/processed/bigwigs/ENCSR694RPO_right_lobe_of_liver_pl.bigWig	data/processed/bigwigs/ENCSR694RPO_right_lobe_of_liver_mn.bigWig	lambda x: np.arcsinh(np.abs(np.nan_to_num(x)))	PRO-cap	ENCSR694RPO-right_lobe_of_liver	ENCSR694RPO	right lobe of liver	Homo sapiens right lobe of liver tissue female adult (47 years)	capped RNA enrichment
data/processed/bigwigs/ENCSR248SVP_osteocyte_pl.bigWig	data/processed/bigwigs/ENCSR248SVP_osteocyte_mn.bigWig	lambda x: np.arcsinh(np.abs(np.nan_to_num(x)))	PRO-cap	ENCSR248SVP-osteocyte	ENCSR248SVP	osteocyte	Homo sapiens osteocyte	capped RNA enrichment
data/processed/bigwigs/ENCSR992HBP_right_lobe_of_liver_pl.bigWig	data/processed/bigwigs/ENCSR992HBP_right_lobe_of_liver_mn.bigWig	lambda x: np.arcsinh(np.abs(np.nan_to_num(x)))	PRO-cap	ENCSR992HBP-right_lobe_of_liver	ENCSR992HBP	right lobe of liver	Homo sapiens right lobe of liver tissue female adult (53 years)	capped RNA enrichment
