example_idx	start	end	attribution	p-value	head	signed_attribution	strand	score	motif_idx	motif_name	motif_pvalue
0	344	359	0.7742406390607357	0.008263899335936591	profile	0.67723006	.	0.7742406390607357	-1	seqlet	
0	83	96	0.38548644608817995	0.018037584062499085	profile	0.36249596	.	0.38548644608817995	-1	seqlet	
0	269	279	0.24986586812883615	0.02834496171874909	profile	0.22614592	.	0.24986586812883615	-1	seqlet	
0	150	161	0.32386533985845745	0.0315712670703116	profile	0.32386535	.	0.32386533985845745	-1	seqlet	
0	318	328	0.22897943735006265	0.041869880937499104	profile	0.17798527	.	0.22897943735006265	-1	seqlet	
0	373	385	0.36335164261981845	0.044566914257811605	profile	0.28230578	.	0.36335164261981845	-1	seqlet	
0	120	133	0.3544454773655161	0.045782358906249106	profile	0.3400742	.	0.3544454773655161	-1	seqlet	
0	82	97	0.5950525036896579	0.02899221523437453	count	0.54489326	.	0.5950525036896579	-1	seqlet	
0	11	26	0.5020019571529701	0.030852846249999524	count	0.48140198	.	0.5020019571529701	-1	seqlet	
0	71	80	0.19557110908499453	0.03176002308593703	count	0.19149163	.	0.19557110908499453	-1	seqlet	
0	37	48	0.28083772415993735	0.03853025960937456	count	0.25635454	.	0.28083772415993735	-1	seqlet	
0	151	160	0.230504697188735	0.04413403406562526	count	0.23050469	.	0.230504697188735	-1	seqlet	
0	118	135	0.815509177336935	0.04532625648437457	count	0.8062776	.	0.815509177336935	-1	seqlet	
0	269	279	0.21380750788375735	0.04847744367187457	count	0.21096005	.	0.21380750788375735	-1	seqlet	
